instance_id,repo,difficulty,resolved,in_results_submitted,in_results_completed,in_results_incomplete,in_results_empty_patch,in_results_error,has_report,report_valid,report_error_headline,fixed_tests,p2p_tests,f2p_tests,s2p_tests,n2p_tests,run_result_passed,run_result_failed,run_result_skipped,test_patch_result_passed,test_patch_result_failed,test_patch_result_skipped,fix_patch_result_passed,fix_patch_result_failed,fix_patch_result_skipped,has_fix_patch_run_log,patch_apply_failed,patch_apply_error_headline,has_patch_diff,patch_source,patch_files,patch_hunks,patch_added,patch_removed,patch_churn,patch_net,patch_is_empty,has_traj_file,has_traj,traj_is_stub,exit_status,submission_present,n_messages,n_assistant,n_user,n_system,n_bash_calls,api_calls,prompt_tokens,completion_tokens,total_tokens,runtime_sec,mini_version,phase_ISSUE_REPRODUCT_msgs,phase_ISSUE_REPRODUCT_steps,phase_ISSUE_REPRODUCT_complete,phase_ISSUE_REPRODUCT_giveup,phase_ISSUE_REPRODUCT_visited,phase_TEST_SYNTHSIZE_msgs,phase_TEST_SYNTHSIZE_steps,phase_TEST_SYNTHSIZE_complete,phase_TEST_SYNTHSIZE_giveup,phase_TEST_SYNTHSIZE_visited,phase_CODE_LOCALIZE_msgs,phase_CODE_LOCALIZE_steps,phase_CODE_LOCALIZE_complete,phase_CODE_LOCALIZE_giveup,phase_CODE_LOCALIZE_visited,phase_TEST_LOCALIZE_msgs,phase_TEST_LOCALIZE_steps,phase_TEST_LOCALIZE_complete,phase_TEST_LOCALIZE_giveup,phase_TEST_LOCALIZE_visited,phase_CODE_FIX_msgs,phase_CODE_FIX_steps,phase_CODE_FIX_complete,phase_CODE_FIX_giveup,phase_CODE_FIX_visited,phase_VERIFY_PATCH_msgs,phase_VERIFY_PATCH_steps,phase_VERIFY_PATCH_complete,phase_VERIFY_PATCH_giveup,phase_VERIFY_PATCH_visited,phase_ISSUE_CLOSE_msgs,phase_ISSUE_CLOSE_steps,phase_ISSUE_CLOSE_complete,phase_ISSUE_CLOSE_giveup,phase_ISSUE_CLOSE_visited,phase_FINAL_REPORT_msgs,phase_FINAL_REPORT_steps,phase_FINAL_REPORT_complete,phase_FINAL_REPORT_giveup,phase_FINAL_REPORT_visited,phase_unknown_msgs,patch_successfully_applied,artefact_missing,all_phases_visited
elastic__logstash-13825,elastic/logstash,hard,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,156,1,23,154,2,23,154,2,23,True,False,,True,logs/fix.patch,2,2,17,0,17,17,False,True,True,False,Submitted,True,524,250,266,8,242,460,6283070,71780,6354850,2547.047532558441,1.17.2,96,10,1,0,1,79,9,1,0,1,61,9,1,0,1,75,8,1,0,1,87,8,1,0,1,59,8,1,0,1,41,9,1,0,1,26,4,1,0,1,0,True,False,True
elastic__logstash-14571,elastic/logstash,hard,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,998,2,32,173,1,26,173,1,26,True,False,,True,logs/fix.patch,1,5,158,1,159,157,False,True,True,False,Submitted,True,739,353,375,11,341,650,10186913,141818,10328731,6314.143011569977,1.17.2,74,10,1,0,1,101,9,1,0,1,59,9,1,0,1,49,8,1,0,1,184,9,2,0,1,195,8,2,1,1,49,9,1,0,1,28,4,1,0,1,0,True,False,True
fasterxml__jackson-databind-4615,fasterxml/jackson-databind,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,609,0,0,0,0,0,0,0,0,True,False,,True,logs/fix.patch,3,3,37,2,39,35,False,True,True,False,Submitted,True,558,267,283,8,259,494,5621416,65704,5687120,2809.5007903575897,1.17.2,62,10,1,0,1,99,9,1,0,1,81,9,1,0,1,73,8,1,0,1,97,9,1,0,1,47,8,1,0,1,73,9,1,0,1,26,4,1,0,1,0,True,False,True
googlecontainertools__jib-4035,googlecontainertools/jib,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,58,20,15,60,7,15,0,0,0,True,True,error: patch failed: jib-core/src/test/java/com/google/cloud/tools/jib/registry/RegistryAuthenticatorTest.java:180,True,logs/fix.patch,2,2,76,2,78,74,False,True,True,False,Submitted,True,518,247,263,8,239,454,4899368,81392,4980760,2523.9385662078857,1.17.2,74,10,1,0,1,107,9,1,0,1,59,9,1,0,1,53,8,1,0,1,93,9,1,0,1,55,8,1,0,1,45,9,1,0,1,32,4,1,0,1,0,False,False,True
elastic__logstash-13930,elastic/logstash,hard,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,156,1,23,154,2,23,154,2,23,True,False,,True,logs/fix.patch,9,24,147,30,177,117,False,True,True,False,Submitted,True,638,307,323,8,299,574,9988808,85149,10073957,2879.180221557617,1.17.2,78,10,1,0,1,71,9,1,0,1,85,9,1,0,1,75,8,1,0,1,209,9,1,0,1,51,8,1,0,1,45,9,1,0,1,24,4,1,0,1,0,True,False,True
fasterxml__jackson-core-922,fasterxml/jackson-core,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,166,0,0,166,1,0,0,0,0,True,False,,True,logs/fix.patch,4,13,14,14,28,0,False,True,True,False,Submitted,True,474,225,241,8,217,410,4108847,63033,4171880,3202.8779203891754,1.17.2,72,10,1,0,1,59,9,1,0,1,63,9,1,0,1,71,8,1,0,1,73,9,1,0,1,45,8,1,0,1,65,9,1,0,1,26,4,1,0,1,0,True,False,True
elastic__logstash-16681,elastic/logstash,medium,False,True,True,False,False,False,True,True,,3,1039,3,0,0,1120,2,30,1120,4,30,1042,0,21,True,False,,True,logs/fix.patch,1,3,17,10,27,7,False,True,True,False,Submitted,True,613,293,311,9,284,541,10376327,96406,10472733,7496.759082555771,1.17.2,102,10,1,0,1,85,9,1,0,1,53,9,1,0,1,77,8,1,0,1,97,9,1,0,1,114,8,2,0,1,55,9,1,0,1,30,4,1,0,1,0,True,False,True
elastic__logstash-16482,elastic/logstash,hard,False,True,True,False,False,False,True,False,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,1042,2,29,1050,6,29,1050,6,29,True,False,,True,logs/fix.patch,2,2,17,5,22,12,False,True,True,False,Submitted,True,630,303,319,8,295,566,6989801,85747,7075548,4520.371306419373,1.17.2,168,10,1,0,1,91,9,1,0,1,53,9,1,0,1,101,8,1,0,1,67,9,1,0,1,49,8,1,0,1,69,9,1,0,1,32,4,1,0,1,0,True,False,True
fasterxml__jackson-core-183,fasterxml/jackson-core,easy,True,True,True,False,False,False,True,True,,1,65,1,0,0,66,0,0,65,1,0,66,0,0,True,False,,True,logs/fix.patch,1,1,7,2,9,5,False,True,True,False,Submitted,True,530,253,269,8,245,466,4444161,61007,4505168,1957.8889195919037,1.17.2,64,10,1,0,1,85,9,1,0,1,83,9,1,0,1,85,8,1,0,1,75,9,1,0,1,51,8,1,0,1,51,9,1,0,1,36,4,1,0,1,0,True,False,True
fasterxml__jackson-databind-3560,fasterxml/jackson-databind,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,588,0,0,587,1,0,587,1,0,True,False,,True,logs/fix.patch,4,14,94,18,112,76,False,True,True,False,Submitted,True,634,305,321,8,296,569,7604257,91753,7696010,2804.0080120563507,1.17.2,80,10,1,0,1,69,9,1,0,1,99,9,1,0,1,59,8,1,0,1,185,9,1,0,1,49,8,1,0,1,63,9,1,0,1,30,4,1,0,1,0,True,False,True
apache__dubbo-7041,apache/dubbo,medium,False,True,True,False,False,False,True,False,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,128,5,0,127,6,0,125,8,0,True,False,,True,logs/fix.patch,1,1,6,1,7,5,False,True,True,False,Submitted,True,530,253,269,8,245,466,4542976,60268,4603244,1935.2999923229218,1.17.2,56,10,1,0,1,57,9,1,0,1,79,9,1,0,1,87,8,1,0,1,99,9,1,0,1,71,8,1,0,1,53,9,1,0,1,28,4,1,0,1,0,True,False,True
alibaba__fastjson2-2097,alibaba/fastjson2,medium,False,True,True,False,False,False,True,False,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,2485,0,1,1742,1,1,1740,3,1,True,False,,True,logs/fix.patch,1,3,39,56,95,-17,False,True,True,False,Submitted,True,1104,536,558,10,511,1005,16185882,411585,16597467,8951.292974233627,1.17.2,84,10,1,0,1,105,9,1,0,1,567,9,1,0,1,101,8,1,0,1,127,9,1,0,1,43,8,1,0,1,53,9,1,0,1,24,4,1,0,1,0,True,False,True
fasterxml__jackson-core-566,fasterxml/jackson-core,medium,False,True,True,False,False,False,True,False,"By comparing the test results before and after applying the fix patch, an anomalous pattern was detected. A brief summary is as follows: Test Result Summary:",132,0,0,0,0,133,0,0,0,0,0,132,1,0,True,False,,True,logs/fix.patch,1,2,92,3,95,89,False,True,True,False,Submitted,True,870,421,440,9,397,782,15417254,353228,15770482,7038.618623018265,1.17.2,54,10,1,0,1,65,9,1,0,1,97,9,1,0,1,65,8,1,0,1,455,9,1,0,1,45,8,1,0,1,57,9,1,0,1,32,4,1,0,1,0,True,False,True
elastic__logstash-14027,elastic/logstash,hard,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,156,1,23,154,2,23,154,2,23,True,False,,True,logs/fix.patch,2,3,25,2,27,23,False,True,True,False,Submitted,True,692,334,350,8,326,628,9212332,95015,9307347,3504.0966935157776,1.17.2,158,10,1,0,1,85,9,1,0,1,77,9,1,0,1,97,8,1,0,1,139,9,1,0,1,49,8,1,0,1,57,9,1,0,1,30,4,1,0,1,0,True,False,True
elastic__logstash-17021,elastic/logstash,hard,False,True,True,False,False,False,True,False,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,1168,2,30,1179,7,30,0,0,0,True,False,,True,logs/fix.patch,179,334,1206,6664,7870,-5458,False,True,True,False,Submitted,True,717,345,363,9,336,645,8707181,92517,8799698,4929.185438156128,1.17.2,122,10,1,0,1,81,9,1,0,1,71,9,1,0,1,83,8,1,0,1,137,9,1,0,1,142,8,2,0,1,57,9,1,0,1,24,4,1,0,1,0,True,False,True
fasterxml__jackson-core-729,fasterxml/jackson-core,hard,False,True,True,False,False,False,True,False,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,138,0,0,0,0,0,0,0,0,True,False,,True,logs/fix.patch,4,56,191,2,193,189,False,True,True,False,Submitted,True,778,377,393,8,367,712,12654607,169539,12824146,4508.9362251758575,1.17.2,76,10,1,0,1,101,9,1,0,1,81,9,1,0,1,69,8,1,0,1,263,9,1,0,1,97,8,1,0,1,55,9,1,0,1,36,4,1,0,1,0,True,False,True
apache__dubbo-10638,apache/dubbo,medium,True,True,True,False,False,False,True,True,,387,184,1,0,386,343,3,0,184,1,0,571,1,0,True,False,,True,logs/fix.patch,2,6,43,1,44,42,False,True,True,False,Submitted,True,694,332,352,10,322,613,9049894,87774,9137668,3047.94087266922,1.17.2,64,10,1,0,1,65,9,1,0,1,87,9,1,0,1,79,8,1,0,1,236,9,2,0,1,80,8,1,1,1,53,9,1,0,1,30,4,1,0,1,0,True,False,True
google__gson-1787,google/gson,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,8,0,0,0,0,0,0,0,0,True,False,,True,logs/fix.patch,0,0,0,0,0,0,True,True,False,True,ExcludedByStrictXcheck,False,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False
googlecontainertools__jib-2542,googlecontainertools/jib,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,75,11,16,74,13,16,74,13,0,True,False,,True,logs/fix.patch,2,2,24,9,33,15,False,True,True,False,Submitted,True,532,254,270,8,246,468,5638476,77939,5716415,2568.0277552604675,1.17.2,78,10,1,0,1,69,9,1,0,1,81,9,1,0,1,59,8,1,0,1,109,9,1,0,1,51,8,1,0,1,55,9,1,0,1,30,4,1,0,1,0,True,False,True
fasterxml__jackson-databind-4365,fasterxml/jackson-databind,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,645,0,1,0,0,0,0,0,0,True,False,,True,logs/fix.patch,1,3,36,0,36,36,False,True,True,False,Submitted,True,538,257,273,8,249,474,5943443,70827,6014270,2914.365968465805,1.17.2,92,10,1,0,1,87,9,1,0,1,53,9,1,0,1,71,8,1,0,1,75,9,1,0,1,45,8,1,0,1,83,9,1,0,1,32,4,1,0,1,0,True,False,True
fasterxml__jackson-core-1182,fasterxml/jackson-core,medium,False,True,True,False,False,False,True,False,"By comparing the test results before and after applying the fix patch, an anomalous pattern was detected. A brief summary is as follows: Test Result Summary:",180,0,0,0,0,183,0,0,0,0,0,180,3,0,True,False,,True,logs/fix.patch,5,6,65,0,65,65,False,True,True,False,Submitted,True,850,410,430,10,400,770,9649597,98872,9748469,4447.149930000305,1.17.2,92,10,1,0,1,83,9,1,0,1,91,9,1,0,1,79,8,1,0,1,240,9,2,0,1,100,8,1,1,1,131,9,1,0,1,34,4,1,0,1,0,True,False,True
elastic__logstash-16079,elastic/logstash,easy,False,True,True,False,False,False,True,False,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,1088,2,30,1087,4,30,1088,3,30,True,False,,True,logs/fix.patch,1,2,6,1,7,5,False,True,True,False,Submitted,True,560,268,284,8,255,491,7312595,152526,7465121,3652.2717044353485,1.17.2,180,10,1,0,1,63,9,1,0,1,67,9,1,0,1,53,8,1,0,1,71,9,1,0,1,57,8,1,0,1,49,9,1,0,1,20,4,1,0,1,0,True,False,True
mockito__mockito-3133,mockito/mockito,hard,True,True,True,False,False,False,True,True,,3,95,1,0,2,98,0,62,95,1,61,98,2,61,True,False,,True,logs/fix.patch,9,14,283,13,296,270,False,True,True,False,Submitted,True,538,257,273,8,249,474,5169298,72341,5241639,2618.2300221920013,1.17.2,122,10,1,0,1,89,9,1,0,1,69,9,1,0,1,85,8,1,0,1,55,9,1,0,1,43,8,1,0,1,49,9,1,0,1,26,4,1,0,1,0,True,False,True
alibaba__fastjson2-82,alibaba/fastjson2,easy,True,True,True,False,False,False,True,True,,370,588,1,0,369,957,0,0,588,1,0,958,0,0,True,False,,True,logs/fix.patch,1,5,61,5,66,56,False,True,True,False,Submitted,True,1993,950,1012,31,919,1745,18025825,243950,18269775,10750.42861700058,1.17.2,96,10,1,0,1,63,9,1,0,1,89,9,1,0,1,73,8,1,0,1,841,9,11,0,1,748,8,4,10,1,51,9,1,0,1,32,4,1,0,1,0,True,False,True
elastic__logstash-15680,elastic/logstash,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,1088,2,32,174,1,26,174,1,26,True,False,,True,logs/fix.patch,3,12,18,7,25,11,False,True,True,False,Submitted,True,1192,579,602,11,554,1089,24080370,389913,24470283,13832.107130765915,1.17.2,76,10,1,0,1,61,9,1,0,1,69,9,1,0,1,79,8,1,0,1,682,9,2,0,1,146,8,1,1,1,51,9,1,0,1,28,4,1,0,1,0,True,False,True
elastic__logstash-17020,elastic/logstash,hard,False,True,True,False,False,False,True,False,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,1186,2,30,1197,7,30,0,0,0,True,False,,True,logs/fix.patch,219,422,1594,8098,9692,-6504,False,True,True,False,Submitted,True,920,442,466,12,430,824,12921218,140216,13061434,4603.026650667191,1.17.2,114,10,1,0,1,93,9,1,0,1,69,9,1,0,1,71,8,1,0,1,327,9,3,0,1,157,8,1,2,1,57,9,1,0,1,32,4,1,0,1,0,True,False,True
elastic__logstash-14045,elastic/logstash,hard,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,156,1,23,154,2,23,154,2,23,True,False,,True,logs/fix.patch,2,2,42,1,43,41,False,True,True,False,Submitted,True,558,267,283,8,258,493,5501909,90323,5592232,2263.631139278412,1.17.2,98,10,1,0,1,101,9,1,0,1,65,9,1,0,1,81,8,1,0,1,95,9,1,0,1,47,8,1,0,1,45,9,1,0,1,26,4,1,0,1,0,True,False,True
fasterxml__jackson-databind-4186,fasterxml/jackson-databind,easy,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,630,0,1,630,1,1,630,1,1,True,False,,True,logs/fix.patch,3,12,12,0,12,12,False,True,True,False,Submitted,True,884,430,446,8,421,819,13461784,120164,13581948,4415.9044325351715,1.17.2,166,10,1,0,1,83,9,1,0,1,93,9,1,0,1,99,8,1,0,1,273,9,1,0,1,53,8,1,0,1,89,9,1,0,1,28,4,1,0,1,0,True,False,True
elastic__logstash-15925,elastic/logstash,medium,False,True,True,False,False,False,True,False,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,1087,2,30,1087,4,30,1086,5,30,True,False,,True,logs/fix.patch,1,1,5,0,5,5,False,True,True,False,Submitted,True,522,249,265,8,241,458,5301722,67844,5369566,2040.2668957710266,1.17.2,130,10,1,0,1,75,9,1,0,1,65,9,1,0,1,79,8,1,0,1,61,9,1,0,1,43,7,1,0,1,41,9,1,0,1,28,4,1,0,1,0,True,False,True
elastic__logstash-13880,elastic/logstash,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,156,1,23,4,1,4,4,1,4,True,False,,True,logs/fix.patch,487,337,50883,2,50885,50881,False,True,True,False,Submitted,True,659,316,334,9,306,586,6644932,102030,6746962,2790.385132074356,1.17.2,94,10,1,0,1,101,9,1,0,1,81,9,1,0,1,65,8,2,0,1,107,9,1,0,1,120,9,2,0,1,63,10,1,0,1,28,4,1,0,1,0,True,False,True
elastic__logstash-14970,elastic/logstash,medium,False,True,True,False,False,False,True,True,,3,981,3,0,0,1059,2,32,1058,4,32,984,0,23,True,False,,True,logs/fix.patch,1,1,6,1,7,5,False,True,True,False,Submitted,True,588,282,298,8,274,524,6250390,79881,6330271,6997.667092323303,1.17.2,118,10,1,0,1,69,9,1,0,1,85,9,1,0,1,91,8,1,0,1,87,9,1,0,1,55,8,1,0,1,49,9,1,0,1,34,4,1,0,1,0,True,False,True
fasterxml__jackson-core-980,fasterxml/jackson-core,medium,False,True,True,False,False,False,True,False,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,0,1,0,0,1,0,0,1,0,True,False,,True,logs/fix.patch,2,7,75,5,80,70,False,True,True,False,Submitted,True,638,307,323,8,299,573,8051611,79444,8131055,3159.464634180069,1.17.2,72,10,1,0,1,85,9,1,0,1,97,9,1,0,1,85,9,1,0,1,149,9,1,0,1,47,8,1,0,1,71,9,1,0,1,32,4,1,0,1,0,True,False,True
googlecontainertools__jib-4144,googlecontainertools/jib,medium,True,True,True,False,False,False,True,True,,16,63,3,0,13,58,2,15,63,10,15,79,0,0,True,False,,True,logs/fix.patch,2,5,23,2,25,21,False,True,True,False,Submitted,True,518,247,263,8,239,454,4832390,68813,4901203,2077.528396129608,1.17.2,68,10,1,0,1,91,9,1,0,1,79,9,1,0,1,67,8,1,0,1,87,9,1,0,1,47,8,1,0,1,49,9,1,0,1,30,4,1,0,1,0,True,False,True
fasterxml__jackson-databind-4050,fasterxml/jackson-databind,easy,True,True,True,False,False,False,True,True,,1,622,1,0,0,623,0,1,622,1,1,623,0,1,True,False,,True,logs/fix.patch,1,1,1,2,3,-1,False,True,True,False,Submitted,True,526,251,267,8,243,462,4371124,56983,4428107,3963.6449155807495,1.17.2,54,10,1,0,1,83,9,1,0,1,83,9,1,0,1,85,8,1,0,1,59,9,1,0,1,45,8,1,0,1,85,9,1,0,1,32,4,1,0,1,0,True,False,True
fasterxml__jackson-databind-3509,fasterxml/jackson-databind,hard,False,True,True,False,False,False,True,False,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",0,0,0,0,0,531,0,0,531,1,0,0,0,0,True,False,,True,logs/fix.patch,3,5,64,6,70,58,False,True,True,False,Submitted,True,698,337,353,8,329,634,9421527,80264,9501791,5237.04994225502,1.17.2,74,10,1,0,1,99,9,1,0,1,89,9,1,0,1,95,8,1,0,1,201,9,1,0,1,43,8,1,0,1,67,9,1,0,1,30,4,1,0,1,0,True,False,True
fasterxml__jackson-databind-4304,fasterxml/jackson-databind,easy,True,True,True,False,False,False,True,True,,1,621,1,0,0,622,0,1,621,1,1,622,0,1,True,False,,True,logs/fix.patch,2,2,4,2,6,2,False,True,True,False,Submitted,True,695,334,352,9,325,622,7204457,75636,7280093,4172.583475828171,1.17.2,84,10,1,0,1,93,9,1,0,1,117,9,1,0,1,83,8,1,0,1,79,9,1,0,1,122,8,2,0,1,89,9,1,0,1,28,4,1,0,1,0,True,False,True
google__gson-1703,google/gson,medium,False,True,True,False,False,False,True,True,,8,0,0,0,8,8,0,0,0,0,0,8,0,0,True,False,,True,logs/fix.patch,1,1,3,0,3,3,False,True,True,False,Submitted,True,480,228,244,8,220,416,3592276,54576,3646852,1884.4984056949615,1.17.2,74,10,1,0,1,67,9,1,0,1,53,9,1,0,1,101,8,1,0,1,55,9,1,0,1,49,8,1,0,1,53,9,1,0,1,28,4,1,0,1,0,True,False,True
fasterxml__jackson-databind-3626,fasterxml/jackson-databind,medium,False,True,True,False,False,False,True,False,"By comparing the test results before and after applying the fix patch, an anomalous pattern was detected. A brief summary is as follows: Test Result Summary:",597,0,0,0,0,598,0,0,0,0,0,597,1,0,True,False,,True,logs/fix.patch,1,2,86,0,86,86,False,True,True,False,Submitted,True,798,381,405,12,369,702,7221983,103470,7325453,5217.167234182358,1.17.2,70,10,1,0,1,67,9,1,0,1,77,9,1,0,1,53,8,1,0,1,303,9,3,0,1,145,8,1,2,1,55,9,1,0,1,28,4,1,0,1,0,True,False,True
