instance_id,repo,difficulty,resolved,report_valid,failure_mode,report_error_headline,patch_apply_failed,patch_apply_error_headline
elastic__logstash-13825,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-14571,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4615,fasterxml/jackson-databind,medium,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
googlecontainertools__jib-4035,googlecontainertools/jib,medium,False,False,patch_apply_failed,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",True,error: patch failed: jib-core/src/test/java/com/google/cloud/tools/jib/registry/RegistryAuthenticatorTest.java:180
elastic__logstash-13930,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-922,fasterxml/jackson-core,medium,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-16681,elastic/logstash,medium,False,True,report_valid_not_leaderboard_resolved,,False,
elastic__logstash-16482,elastic/logstash,hard,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-183,fasterxml/jackson-core,easy,True,True,resolved,,False,
fasterxml__jackson-databind-3560,fasterxml/jackson-databind,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
apache__dubbo-7041,apache/dubbo,medium,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
alibaba__fastjson2-2097,alibaba/fastjson2,medium,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-566,fasterxml/jackson-core,medium,False,False,anomalous_test_pattern,"By comparing the test results before and after applying the fix patch, an anomalous pattern was detected. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-14027,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-17021,elastic/logstash,hard,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-729,fasterxml/jackson-core,hard,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
apache__dubbo-10638,apache/dubbo,medium,True,True,resolved,,False,
google__gson-1787,google/gson,medium,False,False,empty_patch,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
googlecontainertools__jib-2542,googlecontainertools/jib,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4365,fasterxml/jackson-databind,medium,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-1182,fasterxml/jackson-core,medium,False,False,anomalous_test_pattern,"By comparing the test results before and after applying the fix patch, an anomalous pattern was detected. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-16079,elastic/logstash,easy,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
mockito__mockito-3133,mockito/mockito,hard,True,True,resolved,,False,
alibaba__fastjson2-82,alibaba/fastjson2,easy,True,True,resolved,,False,
elastic__logstash-15680,elastic/logstash,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-17020,elastic/logstash,hard,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-14045,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4186,fasterxml/jackson-databind,easy,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-15925,elastic/logstash,medium,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-13880,elastic/logstash,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-14970,elastic/logstash,medium,False,True,report_valid_not_leaderboard_resolved,,False,
fasterxml__jackson-core-980,fasterxml/jackson-core,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
googlecontainertools__jib-4144,googlecontainertools/jib,medium,True,True,resolved,,False,
fasterxml__jackson-databind-4050,fasterxml/jackson-databind,easy,True,True,resolved,,False,
fasterxml__jackson-databind-3509,fasterxml/jackson-databind,hard,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4304,fasterxml/jackson-databind,easy,True,True,resolved,,False,
google__gson-1703,google/gson,medium,False,True,report_valid_not_leaderboard_resolved,,False,
fasterxml__jackson-databind-3626,fasterxml/jackson-databind,medium,False,False,anomalous_test_pattern,"By comparing the test results before and after applying the fix patch, an anomalous pattern was detected. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-1204,fasterxml/jackson-core,medium,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-3860,fasterxml/jackson-databind,medium,True,True,resolved,,False,
fasterxml__jackson-databind-2036,fasterxml/jackson-databind,hard,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4486,fasterxml/jackson-databind,easy,True,True,resolved,,False,
fasterxml__jackson-databind-4048,fasterxml/jackson-databind,medium,True,True,resolved,,False,
mockito__mockito-3129,mockito/mockito,easy,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-3851,fasterxml/jackson-databind,medium,True,True,resolved,,False,
fasterxml__jackson-core-964,fasterxml/jackson-core,medium,True,True,resolved,,False,
fasterxml__jackson-dataformat-xml-531,fasterxml/jackson-dataformat-xml,hard,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4311,fasterxml/jackson-databind,easy,True,True,resolved,,False,
fasterxml__jackson-databind-4360,fasterxml/jackson-databind,easy,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
google__gson-1391,google/gson,medium,True,True,resolved,,False,
elastic__logstash-16579,elastic/logstash,hard,False,True,report_valid_not_leaderboard_resolved,,False,
fasterxml__jackson-core-1016,fasterxml/jackson-core,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4230,fasterxml/jackson-databind,medium,True,True,resolved,,False,
fasterxml__jackson-core-1208,fasterxml/jackson-core,medium,True,True,resolved,,False,
fasterxml__jackson-dataformat-xml-644,fasterxml/jackson-dataformat-xml,medium,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-3621,fasterxml/jackson-databind,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4468,fasterxml/jackson-databind,easy,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
mockito__mockito-3424,mockito/mockito,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
google__gson-1093,google/gson,medium,True,True,resolved,,False,
fasterxml__jackson-databind-3666,fasterxml/jackson-databind,medium,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4189,fasterxml/jackson-databind,easy,True,True,resolved,,False,
fasterxml__jackson-databind-4325,fasterxml/jackson-databind,easy,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4469,fasterxml/jackson-databind,easy,True,True,resolved,,False,
fasterxml__jackson-databind-4159,fasterxml/jackson-databind,medium,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
apache__dubbo-11781,apache/dubbo,medium,False,False,patch_apply_failed,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",True,error: patch failed: dubbo-common/src/test/java/org/apache/dubbo/common/URLTest.java:308
fasterxml__jackson-databind-3716,fasterxml/jackson-databind,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-15008,elastic/logstash,hard,False,True,report_valid_not_leaderboard_resolved,,False,
fasterxml__jackson-databind-4015,fasterxml/jackson-databind,medium,True,True,resolved,,False,
elastic__logstash-15928,elastic/logstash,medium,False,True,report_valid_not_leaderboard_resolved,,False,
elastic__logstash-14878,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-15964,elastic/logstash,easy,False,False,anomalous_test_pattern,"By comparing the test results before and after applying the fix patch, an anomalous pattern was detected. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-14898,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4228,fasterxml/jackson-databind,hard,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4487,fasterxml/jackson-databind,easy,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-14897,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-1142,fasterxml/jackson-core,easy,True,True,resolved,,False,
elastic__logstash-16094,elastic/logstash,hard,False,True,report_valid_not_leaderboard_resolved,,False,
fasterxml__jackson-core-174,fasterxml/jackson-core,medium,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
mockito__mockito-3220,mockito/mockito,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-17019,elastic/logstash,hard,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
alibaba__fastjson2-2775,alibaba/fastjson2,medium,True,True,resolved,,False,
elastic__logstash-16569,elastic/logstash,hard,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
alibaba__fastjson2-2285,alibaba/fastjson2,medium,True,True,resolved,,False,
googlecontainertools__jib-2536,googlecontainertools/jib,medium,True,True,resolved,,False,
mockito__mockito-3173,mockito/mockito,medium,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4013,fasterxml/jackson-databind,hard,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4131,fasterxml/jackson-databind,medium,False,False,anomalous_test_pattern,"By comparing the test results before and after applying the fix patch, an anomalous pattern was detected. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-15241,elastic/logstash,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
alibaba__fastjson2-2559,alibaba/fastjson2,medium,True,True,resolved,,False,
fasterxml__jackson-databind-4087,fasterxml/jackson-databind,medium,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4132,fasterxml/jackson-databind,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-15969,elastic/logstash,hard,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-3701,fasterxml/jackson-databind,easy,True,True,resolved,,False,
fasterxml__jackson-core-891,fasterxml/jackson-core,medium,True,True,resolved,,False,
alibaba__fastjson2-1245,alibaba/fastjson2,easy,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
google__gson-1555,google/gson,medium,True,True,resolved,,False,
elastic__logstash-16968,elastic/logstash,hard,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-3371,fasterxml/jackson-databind,hard,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
googlecontainertools__jib-2688,googlecontainertools/jib,medium,True,True,resolved,,False,
fasterxml__jackson-databind-1923,fasterxml/jackson-databind,easy,True,True,resolved,,False,
fasterxml__jackson-dataformat-xml-544,fasterxml/jackson-dataformat-xml,medium,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
mockito__mockito-3167,mockito/mockito,medium,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-13902,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-15233,elastic/logstash,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-1172,fasterxml/jackson-core,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-14981,elastic/logstash,medium,False,True,report_valid_not_leaderboard_resolved,,False,
fasterxml__jackson-databind-3625,fasterxml/jackson-databind,easy,True,True,resolved,,False,
fasterxml__jackson-databind-4072,fasterxml/jackson-databind,easy,True,True,resolved,,False,
fasterxml__jackson-databind-4257,fasterxml/jackson-databind,easy,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-14000,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-dataformat-xml-638,fasterxml/jackson-dataformat-xml,medium,True,True,resolved,,False,
fasterxml__jackson-databind-4320,fasterxml/jackson-databind,easy,True,True,resolved,,False,
fasterxml__jackson-databind-4338,fasterxml/jackson-databind,easy,True,True,resolved,,False,
fasterxml__jackson-core-1263,fasterxml/jackson-core,medium,True,True,resolved,,False,
elastic__logstash-13931,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-13914,elastic/logstash,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-370,fasterxml/jackson-core,medium,True,True,resolved,,False,
fasterxml__jackson-databind-4219,fasterxml/jackson-databind,easy,True,True,resolved,,False,
fasterxml__jackson-dataformat-xml-590,fasterxml/jackson-dataformat-xml,medium,False,False,no_fix_test_results,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-1053,fasterxml/jackson-core,medium,True,True,resolved,,False,
elastic__logstash-16195,elastic/logstash,hard,False,False,regressed_passing_tests,"Before applying the fix patch, the test passed; however, after applying the fix patch, the test failed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-15697,elastic/logstash,medium,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-core-1309,fasterxml/jackson-core,medium,False,False,patch_apply_failed,"After applying the fix patch, no test results were captured when executing the test command. A brief summary is as follows: Test Result Summary:",True,error: patch failed: src/test/java/com/fasterxml/jackson/core/io/NumberInputTest.java:108
elastic__logstash-15000,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-14058,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
elastic__logstash-13997,elastic/logstash,hard,False,False,no_fixed_tests,"After applying the fix patch, no test cases transitioned from failed to passed. A brief summary is as follows: Test Result Summary:",False,
fasterxml__jackson-databind-4641,fasterxml/jackson-databind,medium,True,True,resolved,,False,
fasterxml__jackson-databind-4426,fasterxml/jackson-databind,easy,True,True,resolved,,False,
